Date,Multiple Dates,Company Type,Repeat Company [Leads],Repeat Company [Event],Event,Facilitator,Activity,Event Type,Half/Full,AM/PM,Num of Pax,Account Manager,Sales Manager,Num of Responses,Positive,Negative,Event Rating,Team Bonding,Facilitator Rating,Motivation,Values & Decision Making,Customer Service/Communication,Time Management/Productivity,Emotional Intelligence,Cultural Competency/Diversity,Building Rapport,Conflict Management,Leading Change,,,,,,,,,,
14-02-2019,,Data & Software,,Yes,Gemalto,Jedde,Chain Reaction,Professional,Half,PM,42, Faj,Daniel,24,,,8.9545,9.0455,9.381,10,3,1,9,5,5,8,6,7,,,,,,,,,,
18-02-2019,,Research and Development,,No,A*STAR,Jedde ,Wild Goats,Professional,Half,PM,70,Farhan,Patrik,15,,,9.2667,9.2,9.2,8,4,4,5,6,4,4,7,6,,,,,,,,,,
19-02-2019,20-02-2019,Government,,No,SG Prisons,Farhan,The Domino Challenge,Guided,Half,PM,35,Darrell,Patrik,2,,,10,10,9.5,0,0,0,1,2,2,0,0,1,,,,,,,,,,
19-02-2019,,Oil and Gas,,Yes,Borouge ,James ,DISC + Bridging The Gap,Expert,Full,Full,14,Jedde,Barbara,3,,,9.3333,9.3333,9,0,1,0,0,1,2,2,2,1,,,,,,,,,,
21-02-2019,,Service - Market research,,No,Remark International,James ,Breaking Barriers + 60 Seconds,Expert,Full,FULL,10,Darrell,Patrik,2,,,9,9,9.5,0,1,1,1,1,0,0,0,2,,,,,,,,,,
22-02-2019,,Government,,No,IMDA,Jedde ,Wild Goats,Professional,Half,PM,25,Farhan,Daniel,3,,,9.3333,9.3333,10,2,2,1,0,1,0,3,1,1,,,,,,,,,,
27-02-2019,,Technology,,No,Dyson,Jedde ,Mindstretcher + Amazing Race,Professional,Full,FULL,17,Darrell,Jasline,18,,,8.8824,9,9.2353,11,6,2,11,9,0,4,6,5,,,,,,,,,,
27-02-2019,,Financial Service,,No,Zenbox,External + Farhan,60 Seconds,Professional,Half,PM,50,Jedde,Daniel,1,,,7,7,8,0,1,0,0,1,0,0,1,0,,,,,,,,,,
28-02-2019,,Oil and Gas,,Yes,Shell,Jedde ,Wild Goats,Professional,Half,PM,20,Darrell ,Jasline,3,,,9.6667,9.6667,10,0,0,0,2,1,2,0,3,1,,,,,,,,,,
28-02-2019,,Data & Software,,No,Silver Bullet,James,Creative Putting Challenge,Professional,Half,PM,80,Farhan,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,
