Date,Multiple Dates,Company Type,Repeat Company [Leads],Repeat Company [Event],Event,Facilitator,Activity,Event Type,Half/Full,AM/PM,Num of Pax,Account Manager,Sales Manager,Num of Responses,Positive,Negative,Event Rating,Team Bonding,Facilitator Rating,Motivation,Values & Decision Making,Customer Service/Communication,Time Management/Productivity,Emotional Intelligence,Cultural Competency/Diversity,Building Rapport,Conflict Management,Leading Change,,,,,,,,,,
09-07-2019,,,,Yes,UOB,Jedde,Bridging The Gap,Professional,Half,AM,110,Darrell,Jasline,9,,,9.6667,9.6667,9.4444,6,0,0,1,2,1,1,2,5,,,,,,,,,,
11-07-2019,,,,Yes,Shell,Jedde,Wild Goats + 60 Seconds,Professional,Half,AM,35,Kalebh,Jasline,10,,,8.8,8.7,9.1,6,6,1,6,5,2,0,5,4,,,,,,,,,,
11-07-2019,,,,No,Alcon,James,Discover Singapore ,Expert,Half,PM,25,Jayden,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019,,Technology,,No,Toshiba,Darrell,Running Man,Professional,Half,AM,59,Zhu Qian,Jasline,10,,,9.3,9.5,9.6,8,3,0,2,4,3,3,1,2,,,,,,,,,,
12-07-2019,,,,Yes,EDB,Barbara,Bridging The Gap,Professional,Half,PM,38,Jayden,Jasline,1,,,3,6,5,0,0,1,0,0,0,0,0,0,,,,,,,,,,
12-07-2019,,,,No,Sing Alliance,Guide,60 Seconds,Guided,Half,PM,16,Lei,Jasline,1,,,9,9,9,0,0,0,1,0,0,1,1,0,,,,,,,,,,
12-07-2019,,,,No,IPOS,Jedde,Murder Mystery,Professional,Half,PM,25,Lei,Praveen,1,,,9,9,9,0,0,0,0,1,0,1,1,0,,,,,,,,,,
12-07-2019,,Travel,,No,RCI,James,Breaking Barriers,Professional,Half,PM,20,-,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019,,,,Yes,IPlanners,Jedde,60 Seconds,Professional,Half,PM,28,Zhu Qian,Jasline,12,,,8.5,8.9167,9.4167,4,8,5,3,7,2,3,7,3,,,,,,,,,,
16-07-2019,,,,Yes,GIC,James,Wild Goats + Running Man,Expert,Half,PM,160,Jedde,Praveen,21,,,8.3333,8.3333,8.8571,6,4,0,3,12,8,9,7,7,,,,,,,,,,
19-07-2019,,,,No,Nouryoun,Jedde,Bridging The Gap + Wild Goats,Expert,Full,FULL,21,Jayden,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019,,,,No,Firmus,Barbara,Treasure Hunt,Professional,Half,PM,12,Zhu Qian,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019,,,,No,Jabil ,Guide,Wild Goats,Guided,Half,PM,80,Lei,Jasline,1,,,9,10,8,0,0,0,1,1,1,1,1,0,,,,,,,,,,
21-07-2019,,,,Yes,Insead,Guide,Murder Mystery,Guided,Half,PM,42,Zhu Qian,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
23-07-2019,,Technology,,No,Apple,Barbara,F1 Challenge,Professional,Half,PM,40,Zhu Qian,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
23-07-2019,,E-Commerce,,Yes,Lazada,James,Running Man,Professional,Half,PM,63,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2019,,,,No,Boehringer,Jedde,Wild Goats,Expert,Half,PM,24,Jayden,Jasline,15,,,8.2667,8.7333,9.4,3,5,1,4,5,3,5,8,6,,,,,,,,,,
25-07-2019,,,,No,Sojern,Barbara,60 Seconds,Professional,Half,PM,60,Kalebh,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
26-07-2019,,Automobile,,Yes,Toyota,James,60 Seconds + Running Man,Professional,Full,FULL,400,Jayden,Jasline,3,,,10,10,10,2,0,1,1,1,0,1,1,0,,,,,,,,,,
26-07-2019,,Bank,,Yes,DBS,Farhan,Drone Challenge,Professional,Half,PM,22,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
26-07-2019,,,,Yes,P&G,Praveen,Bridging The Gap,Professional,Half,PM,50,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
27-07-2019,,,,No,ZACD,Guide,F1 Challenge,Guided,Half,PM,50,Lei,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
02-08-2019,,,,,Ecco,Barbara,Wild Goats,Professional,Half,AM,48,Jayden,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
02-08-2019,,,,,ATR,Jedde,Amazing Race + 60 Seconds,Professional,Full,Full,40,Lei,Praveen,1,,,7,8,7,1,0,0,0,1,0,0,1,0,,,,,,,,,,
02-08-2019,,,,,Amazon,Barbara,Prison Break + Wild Goats,Professional,Half,PM,30,Kalebh,Praveen,1,,,9,9,9,0,0,0,0,1,1,1,0,0,,,,,,,,,,
03-08-2019,,,,,SGMF,Jedde ,Cardboard Boat Building,Professional,Half,AM,50,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
06-08-2019,,,,,NTU,Jedde,Drone Challenge,Professional,Half,PM,30,Lei,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
06-08-2019,,,,,Lazada,Jedde,Treasure Hunt,Professional,Half,PM,30,Kalebh,Praveen,1,,,9,9,10,,,1,,,,1,1,,,,,,,,,,,
07-08-2019,,,,,De Nora Water Technologies,Kalebh,60 Seconds,Expert,Half,PM,15,Lei,Patrik,2,,,10,9,9,1,1,,,,1,1,,,,,,,,,,,,
08-08-2019,,,,,Pulse Nation,James,Running Man,Professional,Half,PM,150,Jayden,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
08-08-2019,,,,,Edrington,Barbara,Food Heritage Trail,Professional,Half,PM,30,Lei,Praveen,20,,,8.4,8.6,8.9,7,8,3,4,6,4,11,2,4,,,,,,,,,,
08-08-2019,,,,,Global PSA,Jedde,Wild Goats,Professional,Half,PM,50,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-2019,,,,,Cummins,Lei,Treasure Hunt,Professional,Half,PM,10,Kalebh,Jasline,1,,,10,10,10,,,1,1,,,,,1,,,,,,,,,,
16-08-2019,,,,,Agilyx,James,DISC,Expert,Half,AM,18,,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
17-08-2019,,,,,Insead,James,Collaborate!,Guided,Half,PM,60,Isha,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
17-08-2019,,,,,Kleen-Pak Products,Kalebh,Amazing Race,Professional,Full,Full,43,Lei,Patrik,1,,,9,9,9,1,1,1,1,1,1,1,1,1,,,,,,,,,,
21-08-2019,"22/8/19, 23/8/19",,,,KPMG,James,Brick Builder + 60 Seconds + Chain Reaction,Professional,,,120,Lei,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-2019,,,,,DBS,Jedde,Treasure Hunt + Amazing Race,Professional,Half,PM,70,Kalebh,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-2019,,,,,NVPC,Jon ,Amazing Race ,Expert,Half,PM,72,Dylan,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-2019,,,,,Singtel,Barbara,Drone Challenge,,Half,PM,235,Jayden,Praveen,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-2019,,,,,GECAS,Praveen,Amazing Race,Professional,Half,PM,20,Isha,Patrik,9,,,9.28,9.28,9.28,7,7,6,,,1,,,,,,,,,,,,,
27-08-2019,,,,,Shell,Jedde,Discover Sentosa,,Half,PM,30,Jayden,Jasline,1,,,9,9,10,1,,,,,,,1,1,,,,,,,,,,
28-08-2019,,,,,International SOS,James,Stranded On Mars,Expert,Half,AM,15,Kalebh,Patrik,1,,,10,10,10,,,,,,,1,1,1,,,,,,,,,,
28-08-2019,,,,,DHL,Jedde ,Indoor Creative Challenge,Professional,Half,PM,35,Lei,Jasline,8,,,9.5,9.6,9.7,4,2,,4,5,2,6,3,4,,,,,,,,,,
29-08-2019,,,,,Alcon,James,Discover Singapore,Professional,Half,PM,25,Isha,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-2019,,,,,MediaMonks Singapore,Lei,DISC + Treasure Hunt,Professional,Full,Full,25,Jedde,Jasline,2,,,9,9,9,,,1,1,1,1,1,1,,,,,,,,,,,
30-08-2019,,,,,RSAF18 DA Bn,Jon/Ivan,Treasure Hunt,Guided,Half,AM,94,Kalebh,Patrik,7,,,9.42,9.42,9.42,,,,,,,,,,,,,,,,,,,
30-08-2019,,,,,Orange Business Services,Kalebh,Cardboard Boat Building,Professional,Half,PM,20,Lei,Patrik,17,,,8.7059,9.2353,8.9412,8,7,4,8,7,7,8,1,1,,,,,,,,,,
30-08-2019,,,,,Jabil ,Dylan,Wild Goats,Guided,Half,PM,45,Lei,Jasline,1,,,9,9,9,,1,,,,1,,1,,,,,,,,,,,
30-08-2019,,,,,HSBC,James,Running Man,Professional,Half,PM,50,Jayden,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-2019,,,,,Keppel,Jedde,Treasure Hunt + Brick Builder,Professional,Full,Full,10,Jedde,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
03-09-2019,,,,,SUTD,Jedde,Wild Goats,Professional,Half,PM,24,Lei,P.V,20,,,9.45,9.4,9.5,10,7,3,4,7,8,10,5,7,,,,,,,,,,
05-09-2019,,,,,Iqvia,Jedde,Prison Break,Professional,Half,AM,30,Isha,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
05-09-2019,,,,,Grab Taxi,Lei,Bridging The Gap,Professional,Half,PM,41,Jayden,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
06-09-2019,,,,,Exyte Asia-Pacific Holding,Jedde,Drone Challenge,Professional,Half,PM,10,Kalebh,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
07-09-2019,,,,,Afton Chemical,Jedde,Beach Olympics,Professional,Half,AM,40,Kalebh,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
11-09-2019,,,,,VMware,James,Chain Reaction,Professional,Half,PM,25,Lei,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-2019,13-09-2019,,,,Fitness First,Jedde,Telematch + Treasure Hunt + Breaking Barriers + Bridging The Gap + CSR,Professional,Full,Full,38,Kalebh,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-2019,,,,,DBS Bank MBFC,External ,Wild Goats,Expert,Half,PM,40,Jayden,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-2019,,,,,Sourced Group,External ,60 Seconds + Running Man,Expert,Full,Full,19,Lei + Ext (On Actual Day),Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-2019,,,,,NTUC,James,Deadline + 60 Seconds + Catapult Challenge,Professional,Full,Full,14,Lei,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-2019,,,,,Sony,External ,Wild Goats + Drone Challenge,Professional,Full,Full,22,Isha,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-2019,,,,,CapitaLand,P.V,60 Seconds + Drone Challenge,Professional,Full,Full,28,Jayden,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
14-09-2019,,,,,Exxon Mobil,Kalebh,Amazing Race,Professional,Half,AM,40,Jayden,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
17-09-2019,,,,,Marriott Vacation Club,James,Art Jamming,Expert,Half,PM,180,Lei,Patrik,,,,,,,,,,,,,,,,,,,,,,,,,
18-09-2019,,,,,J&J,Lei,60 Seconds,Professional,Half,PM,40,Isha,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
18-09-2019,,,,,Oliver Wyman,Jedde,The Domino Challenge,Professional,Half,PM,42,Jayden,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-2019,,,,,DLI,Lei,F1 Challenge,Professional,Half,PM,40,Isha,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-2019,,,,,VMware,James,Soft skills,Coaching & Development,Full,Full,50,,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
24-09-2019,,,,,Shell,Jedde,60 Seconds,Professional,Half,PM,15,Isha,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
24-09-2019,,,,,Berge Bulk,James,,Coaching & Development,Full,Full,,,James,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-2019,,,,,Armstrong,External ,F1 Challenge,Professional,Half,PM,100,Lei,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-2019,,,,,P&G,Barbara,Casino Heist,Professional,Half,PM,50,Isha,P.V,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-2019,,,,,TMF Singapore Hospital,Jedde,Amazing Race (Environmental Sustainability),Professional,Half,PM,100,Jayden,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-2019,,,,,AON,James,Wild Goats,Expert,Half,PM,165,Kalebh,Barbara,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
